Wall time,Step,Value
1645966453.1676445,4,0.009555678814649582
1645966457.8139486,5,0.07923376560211182
1645966485.8828385,11,0.21868714690208435
1645966504.5451272,15,0.11222091317176819
1645966509.2195008,16,0.1282241940498352
1645966523.371167,19,0.15982109308242798
1645966528.0605416,20,0.13611562550067902
1645966532.8218057,21,0.11248010396957397
1645966542.5032122,23,0.09907879680395126
1645966547.2373116,24,0.10369725525379181
1645966561.3707206,27,0.08688347786664963
1645966566.0649974,28,0.07183793932199478
1645966617.8917265,39,0.019007522612810135
1645966627.3472078,41,0.016762640327215195
1645966660.575535,48,0.0059677669778466225
1645966665.3263667,49,0.005453390069305897
1645966670.0724525,50,0.005119166802614927
1645966679.5264184,52,0.004577603191137314
1645966693.8149145,55,0.003393076825886965
1645966708.0135765,58,0.0022827317006886005
1645966722.2939575,61,0.0017249591182917356
1645966727.0324605,62,0.0016215252690017223
1645966731.719629,63,0.0015365442959591746
1645966736.493193,64,0.0014588411431759596
1645966745.9889731,66,0.0012963535264134407
1645966750.7936778,67,0.0012065592454746366
1645966755.491436,68,0.0011128976475447416
1645966760.237859,69,0.001019110670313239
1645966769.6311648,71,0.0008467993466183543
1645966774.4100456,72,0.000774228130467236
1645966802.8105361,78,0.0005305150989443064
1645966812.2408125,80,0.0004727260966319591
1645966826.4827533,83,0.000372458656784147
1645966840.8423395,86,0.00029106519650667906
1645966859.8185477,90,0.00023099523968994617
1645966907.0107505,100,0.0001304659672314301
1645966925.9629822,104,0.00010388546797912568
1645966940.159273,107,9.142908675130457e-05
1645966944.9302886,108,8.856827480485663e-05
1645966954.302344,110,8.332354627782479e-05
1645966987.531681,117,7.366862701019272e-05
1645967011.1663866,122,6.836418469902128e-05
1645967030.1533358,126,6.472851237049326e-05
1645967034.9021876,127,6.41920996713452e-05
1645967044.34787,129,6.341729749692604e-05
1645967053.8455842,131,6.305970600806177e-05
1645967082.20447,137,6.282132380874828e-05
1645967086.9530795,138,6.258291978156194e-05
1645967120.1443048,145,6.103327905293554e-05
1645967129.6087213,147,6.0914077039342374e-05
1645967134.356828,148,6.0973681684117764e-05
1645967148.5535867,151,6.121209298726171e-05
1645967181.8724484,158,6.091408431529999e-05
1645967196.1529882,161,6.0675680288113654e-05
1645967205.6828346,163,6.061607564333826e-05
1645967215.2219794,165,6.061607928131707e-05
1645967243.758307,171,6.0556481912499294e-05
1645967248.4924653,172,6.043727626092732e-05
1645967253.2192554,173,6.0377675254130736e-05
1645967276.9445205,178,6.007966658216901e-05
1645967295.84733,182,5.9781661548186094e-05
1645967310.1160696,185,5.954325752099976e-05
1645967314.8534696,186,5.9424051869427785e-05
1645967319.606968,187,5.93644508626312e-05
1645967338.5641174,191,5.888763553230092e-05
1645967343.3252869,192,5.876843351870775e-05
1645967348.0543258,193,5.870882887393236e-05
1645967381.3795311,200,5.787440750282258e-05
1645967395.6353042,203,5.7457196817267686e-05
1645967400.4021533,204,5.727839015889913e-05
1645967405.140593,205,5.715918814530596e-05
1645967409.9089184,206,5.698038512491621e-05
1645967419.4630096,208,5.66227754461579e-05
1645967438.419629,212,5.584795871982351e-05
1645967447.9043014,214,5.537115066545084e-05
1645967457.4639,216,5.495393997989595e-05
1645967476.4346964,220,5.388111458159983e-05
1645967481.267419,221,5.358310590963811e-05
1645967486.115587,222,5.328509723767638e-05
1645967500.724212,225,5.239107849774882e-05
1645967525.2534816,230,5.090104241389781e-05
1645967574.0070968,240,4.780176095664501e-05
1645967583.4783084,242,4.726534098153934e-05
1645967597.7488778,245,4.6430919610429555e-05
1645967602.4919608,246,4.607330629369244e-05
1645967607.2395005,247,4.58348986285273e-05
1645967645.2560432,255,4.3808431655634195e-05
1645967664.2927353,259,4.291440563974902e-05
1645967669.0362508,260,4.273559898138046e-05
1645967673.8284786,261,4.243759030941874e-05
1645967725.9969418,272,4.023231304017827e-05
1645967740.2962375,275,3.9695893065072596e-05
1645967749.739703,277,3.9338276110356674e-05
1645967759.1805978,279,3.8980666431598365e-05
1645967768.6952937,281,3.862305311486125e-05
1645967778.2448397,283,3.832503716694191e-05
1645967792.4217885,286,3.778861719183624e-05
1645967806.8120017,289,3.7311801861505955e-05
1645967816.3000283,291,3.695418490679003e-05
1645967840.1159723,296,3.611975262174383e-05
1645967849.6012828,298,3.588134131859988e-05
1645967854.3238754,299,3.570253466023132e-05
1645967892.362808,307,3.4510485420469195e-05
1645967901.7957528,309,3.4272074117325246e-05
1645967920.6890569,313,3.373565414221957e-05
1645967939.636698,317,3.31396258843597e-05
1645967949.1286943,319,3.2901214581215754e-05
1645967953.8516705,320,3.278200892964378e-05
1645967968.1073465,323,3.2424395612906665e-05
1645968039.293149,338,3.0755516490899026e-05
1645968044.0425072,339,3.063631083932705e-05
1645968067.752665,344,3.0099887226242572e-05
1645968077.200295,346,2.992107874888461e-05
1645968081.9792147,347,2.9861475923098624e-05
1645968110.487411,353,2.9265447665238753e-05
1645968120.0487132,355,2.9086639187880792e-05
1645968139.1414814,359,2.872902223316487e-05
1645968158.125949,363,2.8371403459459543e-05
1645968162.9201071,364,2.825219780788757e-05
1645968167.7263045,365,2.8192594982101582e-05
1645968172.4371645,366,2.8073389330529608e-05
1645968177.1830795,367,2.7954183678957634e-05
1645968181.9253578,368,2.7894580853171647e-05
1645968234.154064,379,2.7000536647392437e-05
1645968271.9161227,387,2.640450475155376e-05
