PotEng, PDF (PE)
449.6472020903849, 2.770978866919671e-06
897.1641173621406, 1.3887792327511033e-06
4496.47202090385, 4.156468300379505e-07
7126.427896022372, 8.741847337411858e-08
8971.641173621407, 4.860727314628864e-07
11294.627058970831, 6.618879338237588e-07
14219.093021276401, 2.6287813702976193e-07
17900.777537149967, 6.612365006924574e-07
22535.743732392308, 1.1057659417479919e-07
28370.820458389808, 3.513364434107693e-07
35716.74682851674, 4.186146853331759e-07
44964.72020903847, 4.017919357033505e-07
56607.228905373275, 3.6317601405006943e-07
71264.27896022375, 3.6715758817129627e-07
89716.4117362141, 2.638680542227107e-07
112946.2705897083, 2.757866390932329e-07
142190.930212764, 2.7602204388124996e-07
179007.77537149965, 2.85375752930429e-07
225357.43732392305, 1.9350903980589872e-07
283708.20458389807, 2.0860601327514423e-07
357167.4682851674, 2.040746590999232e-07
449647.2020903847, 1.6625873201517959e-07
566072.2890537328, 1.7608534014548817e-07
712642.7896022375, 1.5735325207341262e-07
897164.1173621411, 1.3957231289148647e-07
1129462.705897083, 1.461669187194135e-07
1421909.3021276402, 1.472117567366666e-07
1790077.7537149964, 1.3607551145828996e-07
2253574.3732392304, 1.0698285486411824e-07
2837082.045838981, 1.0803595634881152e-07
3571674.6828516745, 8.808350670552244e-08
4496472.020903847, 8.049693608401613e-08
5660722.890537327, 6.350077578996664e-08
7126427.896022376, 4.5545024627915545e-08
8971641.17362141, 3.5274992511878184e-08
11294627.058970831, 2.2062931127458624e-08
14219093.021276403, 1.358203707987103e-08
17900777.537149966, 6.264345796033811e-09
22535743.732392304, 3.0685004883506774e-09
28370820.458389807, 8.344240531005772e-10
35716746.828516744, 2.9651873544433286e-10
44964720.209038466, 5.5419577338393206e-11
56607228.905373275, 1.1005333759093013e-11
71264278.96022376, 8.741847337411809e-12
89716411.7362141, 6.943896163755547e-12
