PotEng, PDF (PE)
10893.843173967933, 2.0228383926338642e-07
40607.82140537862, 5.426660050449271e-07
92417.14491220363, 4.4509891075870726e-07
151369.4600663602, 3.445411816941476e-07
247927.08606772567, 2.2220730866024424e-07
344493.56902416586, 1.940355586610951e-07
478672.2619995999, 1.3964461162116316e-07
665112.951329842, 1.1817059575412293e-07
784014.285622612, 9.181701119205088e-08
924171.4491220363, 3.4972057273898425e-08
1089384.3173967933, 4.045676785267732e-08
1284132.0645833625, 6.807040319255941e-08
1513694.6006636017, 5.240908115910974e-08
1784295.7179186572, 4.734259497736309e-08
2103271.827479018, 9.534288613689719e-08
2479270.860677257, 3.9404762735749995e-08
2922486.7277240534, 3.8958318396235434e-08
3444935.690241659, 5.970324881879853e-08
4060782.1405378617, 2.4600858895370048e-08
4786722.619995999, 4.496249582967119e-08
5642438.48790827, 4.3481116328190626e-08
6651129.51329842, 3.953745166352903e-08
7840142.856226119, 4.6845413873495345e-08
9241714.491220362, 2.7103344387271267e-08
10893843.173967933, 3.405111294267006e-08
12841320.645833626, 2.6827747140596947e-08
15136946.006636016, 2.0478363193652136e-08
17842957.17918657, 1.7907851143611263e-08
21032718.274790183, 1.6693736107486035e-08
24792708.606772568, 1.2947279184603574e-08
29224867.27724053, 1.0656985161292794e-08
34449356.90241659, 7.505551280077529e-09
40607821.405378625, 5.245771382100959e-09
47867226.19995999, 3.0537667816056573e-09
56424384.879082695, 2.3693302909373337e-09
66511295.132984206, 9.718703202208246e-10
78401428.5622612, 6.745739597783332e-10
92417144.91220362, 2.2254945537935353e-10
108938431.73967934, 1.6182707141070926e-10
128413206.45833611, 6.864242338745581e-11
151369460.06635988, 4.8526926999175735e-12
178429571.79186577, 4.116747389335822e-12
210327182.7479022, 6.984826823215903e-12
247927086.0677259, 2.962764115469957e-12
665112951.3298434, 1.1043980911600257e-12
1784295717.9186573, 4.1167473893358206e-13
2103271827.4790223, 3.492413411607951e-13
