Time,Amp
0.05,1.082805
0.1,1.082805
0.15,0.5414023
0.2,0.5414023
0.25,0.5414023
0.3,0.5414023
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0.5414023
0.65,0.5414023
0.7,0.5414023
0.75,1.082805
0.8,1.082805
0.85,1.624207
0.9,1.624207
0.95,1.624207
1,1.624207
1.05,2.165609
1.1,1.624207
1.15,1.624207
1.2,1.624207
1.25,1.082805
1.3,1.082805
1.35,0.5414023
1.4,0
1.45,-0.5414023
1.5,-0.5414023
1.55,-1.082805
1.6,-1.624207
1.65,-2.165609
1.7,-2.165609
1.75,-2.165609
1.8,-2.165609
1.85,-2.165609
1.9,-1.624207
1.95,-1.624207
2,-1.082805
2.05,-0.5414023
2.1,0
2.15,0
2.2,0.5414023
2.25,1.082805
2.3,1.624207
2.35,1.624207
2.4,1.624207
2.45,1.624207
2.5,1.624207
2.55,1.624207
2.6,1.082805
2.65,0.5414023
2.7,0.5414023
2.75,0
2.8,-0.5414023
2.85,-0.5414023
2.9,-1.082805
2.95,-1.624207
3,-1.624207
3.05,-2.165609
3.1,-2.165609
3.15,-2.707011
3.2,-2.707011
3.25,-2.707011
3.3,-2.707011
3.35,-2.707011
3.4,-2.707011
3.45,-2.707011
3.5,-2.707011
3.55,-2.707011
3.6,-2.707011
3.65,-2.707011
3.7,-2.707011
3.75,-2.165609
3.8,-2.165609
3.85,-2.165609
3.9,-2.165609
3.95,-2.165609
4,-2.165609
4.05,-2.165609
4.1,-2.165609
4.15,-2.165609
4.2,-2.165609
4.25,-2.165609
4.3,-2.165609
4.35,-2.165609
4.4,-2.165609
4.45,-2.165609
4.5,-1.624207
4.55,-1.624207
4.6,-1.624207
4.65,-1.624207
4.7,-1.082805
4.75,-1.082805
4.8,-0.5414023
4.85,-0.5414023
4.9,0
4.95,0
5,0
5.05,0.5414023
5.1,0.5414023
5.15,0.5414023
5.2,0.5414023
5.25,0.5414023
5.3,0.5414023
5.35,0.5414023
5.4,0.5414023
5.45,0
5.5,0
5.55,0
5.6,0
5.65,0
5.7,0
5.75,0
5.8,0
5.85,0
5.9,0
5.95,0
6,0.5414023
6.05,1.082805
6.1,1.082805
6.15,1.624207
6.2,2.165609
6.25,2.165609
6.3,2.707011
6.35,3.248414
6.4,3.248414
6.45,3.789816
6.5,3.789816
6.55,3.789816
6.6,3.789816
6.65,3.789816
6.7,3.789816
6.75,3.789816
6.8,3.789816
6.85,3.789816
6.9,3.248414
6.95,3.248414
7,2.707011
7.05,2.165609
7.1,1.624207
7.15,1.082805
7.2,1.082805
7.25,0.5414023
7.3,0
7.35,0
7.4,0
7.45,-0.5414023
7.5,-0.5414023
7.55,-0.5414023
7.6,-0.5414023
7.65,-0.5414023
7.7,-0.5414023
7.75,-0.5414023
7.8,0
7.85,0
7.9,0
7.95,0
8,0
8.05,0.5414023
8.1,0.5414023
8.15,0.5414023
8.2,1.082805
8.25,1.082805
8.3,1.082805
8.35,1.082805
8.4,1.082805
8.45,1.082805
8.5,1.082805
8.55,1.082805
8.6,1.082805
8.65,1.082805
8.7,1.082805
8.75,1.082805
8.8,0.5414023
8.85,0.5414023
8.9,0.5414023
8.95,0
9,0
9.05,0
9.1,0
9.15,0
9.2,0
9.25,0
9.3,0
9.35,0
9.4,-0.5414023
9.45,-0.5414023
9.5,-1.082805
9.55,-1.082805
9.6,-2.165609
9.65,-2.707011
9.7,-3.789816
9.75,-4.872621
9.8,-5.955425
9.85,-7.579632
9.9,-9.203839
9.95,-10.28664
10,-11.36945
10.05,-11.36945
